Name:,Obj Fn
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100",9981765208,9981765221,9981765218,9981765218,9981765218
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_200",9996782102,9996782144,9996782144,9996782144,9996782144
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300",9987797016,9988797234,9988797234,9988797234,9988797234
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100",9984233621,9984233621,9984233675,9984233675,9984233675
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200",9994249881,9994249828,9994249889,9994249889,9994249889
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_300",9994263853,9994263853,9994263841,9994263841,9994263841
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_100",9981260200,9981260200,9981260200,9903135176,9903135176
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_200",9961739503,9961739503,9903145813,9903145813,9903145813
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_300",9930500811,9930500811,9930500808,9930500808,9930500808
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_100",9312506545,9312506545,9312506545,9312506545,9312506545
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_200",9507823943,9507823943,9507823943,9507823943,9449230164
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_300",9410173763,9410173763,9410173763,9410173763,9390642517
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_100",9980484517,9980484528,9980484528,9980484528,9980484528
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_200",9980502348,9980502079,9980502079,9980502079,9980502079
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_300",9980513918,9980513918,9980513606,9980513606,9980513606
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_100",9993983684,9993983684,9993983689,9993983689,9993983689
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_200",9995101103,9995401317,9995401317,9995401317,9995401317
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_300",9996516625,9996516625,9996416633,9996416633,9996416633
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_100",9979770635,9979770635,9995301738,9995301738,9995301738
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_200",9992320785,9992320785,9992320785,9992320779,9992320779
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_300",9981814424,9981814424,9981814424,9981814418,9981814418
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_100",9990488340,9990488340,9990488340,9991426023,9991426023
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_200",9999101295,9999101295,9999101295,9999570199,9999570199
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_300",9982873683,9982873683,9982873683,9972404743,9972404743
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_100",9935171811,9935171811,9935171811,9893765537,9913296781
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_200",9996126329,9996126329,9996126329,9996126316,9996126316
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_300",9946921968,9946921968,9946921968,9966453315,9983640610
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_100",9546886859,9546886859,9546886859,9546886859,9546886842
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_200",9507833265,9507833265,9507833265,9507833265,9507833265
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_300",9546909979,9546909979,9546909979,9546909979,9546909969
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_100",9980490148,9980490148,9980490099,9980490099,9980490099
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_200",9980509372,9980509372,9980509372,9980509220,9980509220
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_300",9980528513,9980528513,9980528513,9980528440,9980528440
"n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_100",9994389449,9994389449,9994389449,9994389476,9994389476
"n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_200",9993408974,9993408974,9993409001,9993409001,9993409001
"n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_300",9994327024,9994327024,9994327024,9994126758,9994126758
