Name:,Obj Fn
"n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_100",9111095707
"n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_200",9500511139
"n_1000_c_10000000000_g_14_f_0.2_eps_0.1_s_300",9131869168
"n_1000_c_10000000000_g_14_f_0.2_eps_0_s_100",9998805344
"n_1000_c_10000000000_g_14_f_0.2_eps_0_s_200",9998832054
"n_1000_c_10000000000_g_14_f_0.2_eps_0_s_300",9998858493
"n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_100",9999733273
"n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_200",9999139090
"n_1000_c_10000000000_g_14_f_0.2_eps_1e-05_s_300",9999164185
"n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_100",9999511040
"n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_200",9999539090
"n_1000_c_10000000000_g_14_f_0.3_eps_0.0001_s_300",9999010323
"n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_100",9997559095
"n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_200",9992615028
"n_1000_c_10000000000_g_14_f_0.3_eps_0.001_s_300",9989873772
"n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_100",9915013032
"n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_200",9939352102
"n_1000_c_10000000000_g_14_f_0.3_eps_0.01_s_300",9991031836
"n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_100",9330827641
"n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_200",9166047196
"n_1000_c_10000000000_g_14_f_0.3_eps_0.1_s_300",9136767990
"n_1000_c_10000000000_g_14_f_0.3_eps_0_s_100",9998809194
"n_1000_c_10000000000_g_14_f_0.3_eps_0_s_200",9998839532
"n_1000_c_10000000000_g_14_f_0.3_eps_0_s_300",9998870375
"n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_100",9999557713
"n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_200",9999405380
"n_1000_c_10000000000_g_14_f_0.3_eps_1e-05_s_300",9999336636
"n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_100",5001005148
"n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_200",5001009769
"n_1000_c_10000000000_g_2_f_0.1_eps_0.0001_s_300",5001015101
"n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_100",5010005185
"n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_200",5010010045
"n_1000_c_10000000000_g_2_f_0.1_eps_0.001_s_300",5010015073
"n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_100",5100005641
"n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_200",5100009267
"n_1000_c_10000000000_g_2_f_0.1_eps_0.01_s_300",5100016340
"n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_100",6000005398
"n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_200",6000010195
"n_1000_c_10000000000_g_2_f_0.1_eps_0.1_s_300",6000015199
"n_1000_c_10000000000_g_2_f_0.1_eps_0_s_100",5000005359
"n_1000_c_10000000000_g_2_f_0.1_eps_0_s_200",5000009608
"n_1000_c_10000000000_g_2_f_0.1_eps_0_s_300",5000015837
"n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_100",5000105220
"n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_200",5000110445
"n_1000_c_10000000000_g_2_f_0.1_eps_1e-05_s_300",5000115872
"n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_100",5001009668
